FIPS,GEOID,STATE,A01001B_001,A01001B_002,A01001B_003,A01001B_004,A01001B_005,A01001B_006,A01001B_007,A01001B_008,A01001B_009,A01001B_010,A01001B_011,A01001B_012
01001,05000US01001,01,55200,51937,47928,44358,41831,37166,30102,22728,14875,8050,3339,815
01003,05000US01003,01,208107,196498,184809,170486,162430,146989,123663,98286,69956,40665,16114,3949
01005,05000US01005,01,25782,24392,22942,21265,20346,18173,14498,11394,7942,4634,1814,422
01007,05000US01007,01,22527,21252,20074,18785,17868,15780,12705,9810,6371,3661,1539,427
01009,05000US01009,01,57645,54160,50528,46533,44177,39627,32841,25688,17741,10233,4101,866
01011,05000US01011,01,10352,9756,9122,8582,8202,7104,5984,4385,3063,1616,605,175
01013,05000US01013,01,20025,18820,17527,16253,15459,13888,11464,9063,6636,3806,1725,557
01015,05000US01015,01,115098,108536,101692,94534,89902,79135,64118,50273,35315,19386,7897,2050
01017,05000US01017,01,33826,31876,30148,28049,26820,23564,19873,15900,11252,6409,2634,702
01019,05000US01019,01,25853,24649,23179,21659,20567,18673,16144,13227,9585,5621,2195,479
01021,05000US01021,01,43930,41163,38060,35191,33283,29793,23964,18356,12700,6927,2791,602
01023,05000US01023,01,13075,12404,11697,10937,10425,9436,8110,6664,4858,2884,1237,295
01025,05000US01025,01,24387,23023,21648,20057,18998,16870,14277,11356,8039,4626,2051,465
01027,05000US01027,01,13378,12708,12057,11060,10559,9285,8091,6437,4613,2652,1108,249
01029,05000US01029,01,14938,14117,13062,12100,11500,10445,8739,6915,4805,2803,1185,412
01031,05000US01031,01,51288,48110,44859,41271,39127,34912,28438,21674,14837,8375,3514,906
01033,05000US01033,01,54495,51397,48125,44936,42887,38638,32142,25606,18211,10502,4499,1216
01035,05000US01035,01,12514,11799,10905,10333,9863,8848,7560,6209,4608,2707,1073,312
01037,05000US01037,01,10855,10513,10081,9359,9005,8230,7072,5811,4265,2368,1018,201
01039,05000US01039,01,37351,35209,32713,30575,29161,26438,22144,18046,13151,7650,3420,862
01041,05000US01041,01,13865,13078,12210,11285,10749,9675,8108,6366,4540,2542,1007,311
01043,05000US01043,01,82313,77334,72598,67002,63741,57212,47046,36868,25855,14803,6047,1101
01045,05000US01045,01,49255,46024,42862,39714,37749,33382,26256,20440,14287,7939,3360,864
01047,05000US01047,01,40029,37552,34710,32028,30249,26600,21926,17471,12536,6705,2712,530
01049,05000US01049,01,71200,66949,62033,56882,53720,47876,39284,30267,20871,11619,4572,1039
01051,05000US01051,01,81212,76476,71715,66255,62973,55759,44594,33461,22179,11770,4499,1141
01053,05000US01053,01,37328,35206,32916,30425,29000,25965,20983,16181,11284,6476,2735,658
01055,05000US01055,01,102939,97146,90998,84788,80658,71995,59906,46958,32910,18877,7697,1942
01057,05000US01057,01,16585,15660,14746,13710,13023,11717,9818,7943,5764,3392,1378,368
01059,05000US01059,01,31542,29377,27526,25110,23736,20812,16819,12847,8808,5100,2143,565
01061,05000US01061,01,26491,25046,23343,21662,20635,18598,15625,12509,8909,5152,2163,439
01063,05000US01063,01,8426,7936,7399,6911,6564,5833,4827,4061,3064,1716,762,202
01065,05000US01065,01,14887,13916,13029,12043,11406,10071,8384,6754,4867,2717,1144,342
01067,05000US01067,01,17124,16191,15368,14184,13537,12167,10515,8372,6153,3696,1450,442
01069,05000US01069,01,104352,98012,91294,84309,79966,71698,58139,45133,31390,17615,7332,1923
01071,05000US01071,01,52094,49301,46084,42978,40935,37225,31216,24749,17620,9972,4024,997
01073,05000US01073,01,659892,617355,574451,533276,508234,448732,353539,270000,186647,99146,41827,12719
01075,05000US01075,01,13933,13234,12356,11421,10868,9893,8421,6859,4978,2938,1358,342
01077,05000US01077,01,92585,87849,82286,77434,74063,63429,52533,42270,30386,17876,7686,2203
01079,05000US01079,01,33171,31316,29304,27120,25939,23395,19426,15421,10576,5787,2198,529
01081,05000US01081,01,159287,149856,141006,130806,125085,94988,72121,52885,34231,17739,6626,1573
01083,05000US01083,01,93052,87829,82398,75701,71640,64294,52246,39515,25627,13723,5404,1427
01085,05000US01085,01,10236,9602,8965,8303,7906,7056,5799,4707,3317,1828,782,191
01087,05000US01087,01,19054,18118,17217,16259,15643,12135,10076,8332,6160,3542,1387,393
01089,05000US01089,01,357560,336658,314979,292491,278365,243785,194282,150928,99227,51308,21731,5568
01091,05000US01091,01,19538,18569,17337,15863,15070,13523,11280,8974,6436,3690,1643,356
01093,05000US01093,01,29965,28426,26838,24856,23649,21354,18053,14585,10329,6219,2699,684
01095,05000US01095,01,95145,88609,82444,75470,71491,63644,51986,40392,27908,15941,6539,1523
01097,05000US01097,01,414659,387690,361341,333250,316322,277699,220489,170923,118240,63650,25565,7031
01099,05000US01099,01,21512,20246,18909,17545,16592,14756,12517,10083,7190,4060,1717,581
01101,05000US01101,01,226941,211626,196223,182088,173272,150042,117047,88524,60474,32183,13537,3392
01103,05000US01103,01,119122,112063,103842,96718,91738,82261,67638,52627,35900,19865,8234,2204
01105,05000US01105,01,9486,8972,8605,7808,7417,5815,5181,3886,3004,1764,714,215
01107,05000US01107,01,20298,19264,18268,17081,16296,14565,11920,9547,6545,3729,1592,524
01109,05000US01109,01,33403,31542,29780,27934,26864,19258,15285,11947,8494,4886,2067,503
01111,05000US01111,01,22574,21284,19852,18552,17660,15738,13311,10696,7753,4512,1840,425
01113,05000US01113,01,58213,53955,49325,46124,43855,38950,30047,22595,15028,7776,3124,748
01115,05000US01115,01,87306,82065,76786,70728,67308,60698,49405,38019,25546,13891,5345,1190
01117,05000US01117,01,211261,198761,184696,169857,160650,143422,117116,87325,57132,30125,11386,2710
01119,05000US01119,01,12985,12283,11590,10929,10463,7858,6704,5487,4034,2198,1014,247
01121,05000US01121,01,80565,76264,71224,66428,63217,56122,46273,36215,25169,13757,5440,1403
01123,05000US01123,01,40636,38425,35775,33558,32062,28582,24292,19950,14475,8274,3239,850
01125,05000US01125,01,206213,193865,181898,170196,163037,127554,97135,72566,49499,25685,10253,2918
01127,05000US01127,01,64493,60507,56479,52668,50140,44974,37385,29774,21069,12024,4897,1216
01129,05000US01129,01,16643,16027,15138,13716,12940,11469,9773,8011,5536,3038,1172,175
01131,05000US01131,01,10809,10143,9646,8716,8167,7204,6043,4740,3495,1985,833,238
01133,05000US01133,01,23875,22629,21436,19783,18883,17184,14600,11925,8582,5027,2042,532
02013,05000US02013,02,3425,3317,3214,3045,2937,2637,2144,1638,811,302,90,30
02016,05000US02016,02,5750,5510,5151,4911,4787,4107,3109,2255,1140,334,75,10
02020,05000US02020,02,296112,274346,253799,234589,222915,191994,140431,102510,65147,29492,9994,2626
02050,05000US02050,02,18040,16177,14363,12620,11593,9677,6936,4972,3053,1284,393,71
02060,05000US02060,02,890,838,787,728,696,645,554,419,264,85,32,7
02068,05000US02068,02,2232,2166,2124,2026,1975,1601,1332,1040,649,162,55,0
02070,05000US02070,02,4975,4497,4067,3673,3439,2902,2174,1617,1075,430,157,33
02090,05000US02090,02,99653,91756,84740,78880,75498,61838,43523,31291,20261,9124,2719,573
02100,05000US02100,02,2518,2359,2216,2033,1960,1872,1571,1254,911,614,102,10
02105,05000US02105,02,2132,2030,1921,1836,1802,1680,1454,1236,897,415,103,14
02110,05000US02110,02,32330,30429,28386,26588,25348,22479,17631,13261,8656,3877,1178,412
02122,05000US02122,02,58220,54568,51017,47217,44941,40277,33015,26134,18528,9092,2855,759
02130,05000US02130,02,13804,12964,12084,11251,10724,9580,7720,6007,4102,1950,644,198
